"Date & Time","P Sum (kW)","Q Sum (kVAr)","S Sum (kVA)"
"2015/12/26 05:30:00 PM","0.983","-0.238","1.012"
"2015/12/26 06:00:00 PM","0.886","-0.392","0.968"
"2015/12/26 06:30:00 PM","0.945","-0.379","1.018"
"2015/12/26 07:00:00 PM","1.026","-0.189","1.044"
"2015/12/26 07:30:00 PM","0.865","-0.413","0.959"
"2015/12/26 08:00:00 PM","0.901","-0.361","0.971"
"2015/12/26 08:30:00 PM","0.996","-0.222","1.020"
"2015/12/26 09:00:00 PM","0.891","-0.383","0.970"
"2015/12/26 09:30:00 PM","0.897","-0.376","0.972"
"2015/12/26 10:00:00 PM","0.982","-0.243","1.011"
"2015/12/26 10:30:00 PM","0.914","-0.349","0.978"
"2015/12/26 11:00:00 PM","0.887","-0.386","0.968"
"2015/12/26 11:30:00 PM","0.989","-0.239","1.017"
"2015/12/27","0.967","-0.357","1.031"
"2015/12/27 12:30:00 AM","0.900","-0.368","0.972"
"2015/12/27 01:00:00 AM","0.951","-0.288","0.994"
"2015/12/27 01:30:00 AM","0.950","-0.306","0.998"
"2015/12/27 02:00:00 AM","0.884","-0.395","0.968"
"2015/12/27 02:30:00 AM","0.961","-0.276","1.000"
"2015/12/27 03:00:00 AM","0.950","-0.312","0.999"
"2015/12/27 03:30:00 AM","0.901","-0.375","0.976"
"2015/12/27 04:00:00 AM","0.947","-0.310","0.997"
"2015/12/27 04:30:00 AM","1.008","-0.295","1.051"
"2015/12/27 05:00:00 AM","0.888","-0.386","0.969"
"2015/12/27 05:30:00 AM","0.958","-0.278","0.997"
"2015/12/27 06:00:00 AM","0.923","-0.341","0.984"
"2015/12/27 06:30:00 AM","0.915","-0.350","0.980"
"2015/12/27 07:00:00 AM","0.932","-0.300","0.979"
"2015/12/27 07:30:00 AM","0.922","-0.338","0.982"
"2015/12/27 08:00:00 AM","0.968","-0.354","1.031"
"2015/12/27 08:30:00 AM","0.948","-0.277","0.987"
