"Date & Time","P Sum (kW)","Q Sum (kVAr)","S Sum (kVA)"
"2015/12/26 05:00:00 PM","2.380","1.688","2.918"
"2015/12/26 05:30:00 PM","2.325","1.660","2.857"
"2015/12/26 06:00:00 PM","2.382","1.745","2.953"
"2015/12/26 06:30:00 PM","2.460","1.889","3.102"
"2015/12/26 07:00:00 PM","2.388","1.775","2.975"
"2015/12/26 07:30:00 PM","2.341","1.668","2.874"
"2015/12/26 08:00:00 PM","2.376","1.655","2.895"
"2015/12/26 08:30:00 PM","2.431","1.530","2.872"
"2015/12/26 09:00:00 PM","2.464","1.714","3.002"
"2015/12/26 09:30:00 PM","2.394","1.503","2.827"
"2015/12/26 10:00:00 PM","2.377","1.527","2.825"
"2015/12/26 10:30:00 PM","2.387","1.683","2.921"
"2015/12/26 11:00:00 PM","2.305","1.566","2.787"
"2015/12/26 11:30:00 PM","2.456","1.816","3.055"
"2015/12/27","2.329","1.602","2.827"
"2015/12/27 12:30:00 AM","2.387","1.669","2.913"
"2015/12/27 01:00:00 AM","2.305","1.557","2.782"
"2015/12/27 01:30:00 AM","2.393","1.690","2.930"
"2015/12/27 02:00:00 AM","2.432","1.756","3.000"
"2015/12/27 02:30:00 AM","2.369","1.644","2.884"
"2015/12/27 03:00:00 AM","2.321","1.578","2.807"
"2015/12/27 03:30:00 AM","2.387","1.684","2.921"
"2015/12/27 04:00:00 AM","2.311","1.582","2.801"
"2015/12/27 04:30:00 AM","2.474","1.750","3.031"
"2015/12/27 05:00:00 AM","2.328","1.575","2.811"
"2015/12/27 05:30:00 AM","2.389","1.684","2.923"
"2015/12/27 06:00:00 AM","2.292","1.545","2.764"
"2015/12/27 06:30:00 AM","2.379","1.684","2.915"
"2015/12/27 07:00:00 AM","2.412","1.760","2.986"
"2015/12/27 07:30:00 AM","2.347","1.647","2.867"
"2015/12/27 08:00:00 AM","2.294","1.569","2.780"
"2015/12/27 08:30:00 AM","2.355","1.665","2.884"
"2015/12/27 09:00:00 AM","2.287","1.573","2.776"
"2015/12/27 09:30:00 AM","2.431","1.831","3.043"
"2015/12/27 10:00:00 AM","2.300","1.662","2.838"
"2015/12/27 10:30:00 AM","2.365","1.745","2.939"
"2015/12/27 11:00:00 AM","2.275","1.623","2.794"
"2015/12/27 11:30:00 AM","2.349","1.724","2.914"
"2015/12/27 12:00:00 PM","2.394","1.811","3.001"
"2015/12/27 12:30:00 PM","2.363","1.738","2.933"
"2015/12/27 01:00:00 PM","2.272","1.599","2.778"
"2015/12/27 01:30:00 PM","2.370","1.749","2.945"
"2015/12/27 02:00:00 PM","2.331","1.688","2.878"
"2015/12/27 02:30:00 PM","2.469","1.903","3.117"
"2015/12/27 03:00:00 PM","2.318","1.674","2.860"
"2015/12/27 03:30:00 PM","2.344","1.765","2.934"
"2015/12/27 04:00:00 PM","2.321","1.844","2.964"
"2015/12/27 04:30:00 PM","2.288","1.776","2.897"
"2015/12/27 05:00:00 PM","2.404","1.977","3.113"
"2015/12/27 05:30:00 PM","2.286","1.767","2.889"
"2015/12/27 06:00:00 PM","2.351","1.849","2.991"
"2015/12/27 06:30:00 PM","2.290","1.763","2.890"
"2015/12/27 07:00:00 PM","2.327","1.831","2.962"
"2015/12/27 07:30:00 PM","2.411","1.974","3.116"
"2015/12/27 08:00:00 PM","2.338","1.837","2.973"
"2015/12/27 08:30:00 PM","2.337","1.838","2.973"
"2015/12/27 09:00:00 PM","2.297","1.768","2.899"
"2015/12/27 09:30:00 PM","2.351","1.855","2.995"
"2015/12/27 10:00:00 PM","2.398","1.946","3.088"
"2015/12/27 10:30:00 PM","2.364","1.875","3.018"
"2015/12/27 11:00:00 PM","2.263","1.730","2.848"
"2015/12/27 11:30:00 PM","2.327","1.831","2.961"
"2015/12/28","2.295","1.774","2.901"
"2015/12/28 12:30:00 AM","2.446","2.005","3.163"
"2015/12/28 01:00:00 AM","2.304","1.768","2.904"
"2015/12/28 01:30:00 AM","2.319","1.803","2.937"
"2015/12/28 02:00:00 AM","2.330","1.819","2.956"
"2015/12/28 02:30:00 AM","2.321","1.811","2.944"
"2015/12/28 03:00:00 AM","2.413","1.976","3.119"
"2015/12/28 03:30:00 AM","2.282","1.763","2.883"
"2015/12/28 04:00:00 AM","2.351","1.856","2.995"
"2015/12/28 04:30:00 AM","2.287","1.767","2.890"
"2015/12/28 05:00:00 AM","2.325","1.828","2.958"
"2015/12/28 05:30:00 AM","2.367","1.898","3.034"
"2015/12/28 06:00:00 AM","2.390","1.776","2.978"
"2015/12/28 06:30:00 AM","5.395","0.841","5.460"
"2015/12/28 07:00:00 AM","4.821","1.110","4.947"
"2015/12/28 07:30:00 AM","4.463","1.285","4.645"
"2015/12/28 08:00:00 AM","5.222","1.030","5.323"
"2015/12/28 08:30:00 AM","5.302","0.984","5.392"
"2015/12/28 09:00:00 AM","5.330","1.094","5.441"
"2015/12/28 09:30:00 AM","5.707","1.324","5.859"
"2015/12/28 10:00:00 AM","5.460","1.914","5.785"
"2015/12/28 10:30:00 AM","5.297","1.406","5.481"
"2015/12/28 11:00:00 AM","5.456","2.370","5.948"
"2015/12/28 11:30:00 AM","5.010","1.643","5.273"
